MP20_DROME	P14318	FBgn0002789	Mp20
Q1KN24_DROME	Q1KN24	FBgn0002873	mud
Q4U2Q3_DROME	Q4U2Q3	FBgn0002887	mus201
ATRIP_DROME	Q9VVN4	FBgn0002901	mus304
O18475_DROME	O18475	FBgn0002905	mus308
BLM_DROME	Q9VGI8	FBgn0002906	Blm
ATNA_DROME	P13607	FBgn0002921	Atpalpha
NUDEL_DROME	P98159	FBgn0002926	ndl
Q7JWX3_DROME	Q7JWX3	FBgn0002930	nec
Q7KH24_DROME	Q7KH24	FBgn0002931	net
NINAC_DROME	P10676	FBgn0002938	ninaC
NOD_DROME	P18105	FBgn0002948	nod
Q8IQ95_DROME	Q8IQ95	FBgn0003041	pbl
FBRL_DROME	Q9W1V3	FBgn0003062	Fib
PCKG_DROME	P20007	FBgn0003067	Pepck
G6PI_DROME	P52029	FBgn0003074	Pgi
PGM_DROME	Q9VUY9	FBgn0003076	Pgm
PP13_DROME	Q05547	FBgn0003132	Pp1-13C
PPN_DROME	Q868Z9	FBgn0003137	Ppn
MYSP1_DROME	P35415	FBgn0003149	Prm
MYSP2_DROME	P35416	FBgn0003149	Prm
GCH1_DROME	P48596	FBgn0003162	Pu
PYR1_DROME	P05990	FBgn0003189	r
IMDH_DROME	Q07152	FBgn0003204	ras
E1JJK6_DROME	E1JJK6	FBgn0003218	rdgB
MCMR_DROME	Q9VF30	FBgn0003227	rec
OPS3_DROME	P04950	FBgn0003249	Rh3
Q7KTA0_DROME	Q7KTA0	FBgn0003255	rk
ERKA_DROME	P40417	FBgn0003256	rl
DDX17_DROME	P19109	FBgn0003261	Rm62
RLA2_DROME	P05389	FBgn0003274	RpLP2
RPA2_DROME	P20028	FBgn0003278	RpI135
RL4_DROME	P09180	FBgn0003279	RpL4
CYA1_DROME	P32870	FBgn0003301	rut
XDH_DROME	P10351	FBgn0003308	ry
RAGP1_DROME	Q9VIW3	FBgn0003346	RanGAP
SGG_DROME	P18431	FBgn0003371	sgg
WIF1_DROME	Q9W3W5	FBgn0003390	shf
E1JJA4_DROME	E1JJA4	FBgn0003392	shi
A1Z8F4_DROME	A1Z8F4	FBgn0003396	shn
A4V4U5_DROME	A4V4U5	FBgn0003423	slgA
PROD_DROME	Q04499	FBgn0003423	slgA
Q6NND8_DROME	Q6NND8	FBgn0003435	sm
Q9VUE5_DROME	Q9VUE5	FBgn0003459	stwl
E1JJ98_DROME	E1JJ98	FBgn0003464	sol
Q8SZ30_DROME	Q8SZ30	FBgn0003482	spn-D
BTKL_DROME	P08630	FBgn0003502	Btk29A
STAU_DROME	P25159	FBgn0003520	stau
SUS_DROME	P22293	FBgn0003575	su(s)
SUV37_DROME	P20193	FBgn0003598	Su(var)3-7
Q8IGK3_DROME	Q8IGK3	FBgn0003612	Su(var)2-10
SUWA_DROME	P12297	FBgn0003638	su(w[a])
TLD_DROME	P25723	FBgn0003719	tld
TLL_DROME	P18102	FBgn0003720	tll
TPM4_DROME	P49455	FBgn0003721	Tm1
Q6NN28_DROME	Q6NN28	FBgn0003721	Tm1
Q8IGY1_DROME	Q8IGY1	FBgn0003721	Tm1
TOP2_DROME	P15348	FBgn0003732	Top2
A4UZR3_DROME	A4UZR3	FBgn0003748	Treh
TRP_DROME	P19334	FBgn0003861	trp
TSH_DROME	P22265	FBgn0003866	tsh
Q8MST5_DROME	Q8MST5	FBgn0003890	betaTub97EF
PTC_DROME	P18502	FBgn0003892	ptc
Q9VRF2_DROME	Q9VRF2	FBgn0003950	unc
VIR_DROME	Q9W1R5	FBgn0003977	vir
WNTG_DROME	P09615	FBgn0004009	wg
VIT1_DROME	P02843	FBgn0004045	Yp1
VIT3_DROME	P06607	FBgn0004047	Yp3
Q9VFU8_DROME	Q9VFU8	FBgn0004049	yrt
UZIP_DROME	P10379	FBgn0004055	uzip
PSA71_DROME	P22769	FBgn0004066	Prosalpha4
Q7KV69_DROME	Q7KV69	FBgn0004167	kst
E1JJP0_DROME	E1JJP0	FBgn0004169	up
TNNT_DROME	P19351	FBgn0004169	up
D0IQJ8_DROME	D0IQJ8	FBgn0004179	Csp
SERR_DROME	P18168	FBgn0004197	Ser
SY65_DROME	P21521	FBgn0004242	Syt1
A1ZBR2_DROME	A1ZBR2	FBgn0004364	18w
ATR_DROME	Q9VXG8	FBgn0004367	mei-41
P91945_DROME	P91945	FBgn0004379	Klp67A
Q9VB25_DROME	Q9VB25	FBgn0004387	Klp98A
GAP1_DROME	P48423	FBgn0004390	RasGAP1
Q9VXV3_DROME	Q9VXV3	FBgn0004391	shtd
Q24584_DROME	Q24584	FBgn0004397	Vinc
PEP_DROME	P41073	FBgn0004401	Pep
DPOG1_DROME	Q27607	FBgn0004406	tam
DDX6_DROME	P23128	FBgn0004419	me31B
PPIA_DROME	P25007	FBgn0004432	Cyp1
"A4UZE6_DROME,GNAQ_DROME"	P23625	FBgn0004435	Galphaq
RPC2_DROME	P25167	FBgn0004463	RpIII128
PYG_DROME	Q9XTL9	FBgn0004507	GlyP
MDR65_DROME	Q00748	FBgn0004513	Mdr65
E2QCY9_DROME	E2QCY9	FBgn0004575	Syn
EXPA_DROME	Q07436	FBgn0004583	ex
B7YZZ9_DROME	B7YZZ9	FBgn0004584	Rrp1
SRR55_DROME	P26686	FBgn0004587	B52
PROS_DROME	P29617	FBgn0004595	pros
ZFH2_DROME	P28167	FBgn0004607	zfh2
PIP1_DROME	P25455	FBgn0004611	Plc21C
CYTL_DROME	P23779	FBgn0004629	Cys
INX1_DROME	P27716	FBgn0004646	ogre
YL_DROME	P98163	FBgn0004649	yl
6PGD_DROME	P41572	FBgn0004654	Pgd
FSH_DROME	P13709	FBgn0004656	fs(1)h
ITBX_DROME	P11584	FBgn0004657	mys
Q8SZL4_DROME	Q8SZL4	FBgn0004782	Ccp84Ab
KPC2_DROME	P13677	FBgn0004784	inaC
RB27C_DROME	P48809	FBgn0004838	Hrb27C
TLR1_DROME	P30974	FBgn0004841	TkR86C
BX42_DROME	P39736	FBgn0004856	Bx42
PHP_DROME	P39769	FBgn0004861	ph-p
RS2_DROME	P31009	FBgn0004867	RpS2
Q9VLB7_DROME	Q9VLB7	FBgn0004868	Gdi
PIWI_DROME	Q9VKM1	FBgn0004872	piwi
Q24132_DROME	Q24132	FBgn0004885	tok
2ABA_DROME	P36872	FBgn0004889	tws
RFC1_DROME	P35600	FBgn0004913	Gnf1
Q9VL02_DROME	Q9VL02	FBgn0005322	nmd
ASH1_DROME	Q9VW15	FBgn0005386	ash1
Q9U916_DROME	Q9U916	FBgn0005585	Calr
FGFR2_DROME	Q09147	FBgn0005592	btl
RL7_DROME	P32100	FBgn0005593	RpL7
TRPL_DROME	P48994	FBgn0005614	trpl
PSC_DROME	P35820	FBgn0005624	Psc
FAF_DROME	P55824	FBgn0005632	faf
Q94888_DROME	Q94888	FBgn0005640	Eip63E
O96967_DROME	O96967	FBgn0005664	Crys
Q9VKE2_DROME	Q9VKE2	FBgn0005664	Crys
D1YSG0_DROME	D1YSG0	FBgn0005666	bt
SYEP_DROME	P28668	FBgn0005674	GluProRS
COPB_DROME	P45437	FBgn0008635	betaCOP
CP4G1_DROME	Q9V3S0	FBgn0010019	Cyp4g1
ITPR_DROME	P29993	FBgn0010051	Itp-r83A
Q9VIE8_DROME	Q9VIE8	FBgn0010100	Acon
RFA1_DROME	Q24492	FBgn0010173	RpA-70
A8DYZ3_DROME	A8DYZ3	FBgn0010197	Gyc32E
SODM_DROME	Q00637	FBgn0010213	Sod2
GELS_DROME	Q07171	FBgn0010225	Gel
GST1_DROME	P41043	FBgn0010226	GstS1
Q5BI62_DROME	Q5BI62	FBgn0010241	Mdr50
SSRP1_DROME	Q05344	FBgn0010278	Ssrp
UCHL_DROME	P35122	FBgn0010288	Uch
A8JRE3_DROME	A8JRE3	FBgn0010328	woc
CDSA_DROME	P56079	FBgn0010350	CdsA
A8JNU6_DROME	A8JNU6	FBgn0010352	Nc73EF
Q8IQQ0_DROME	Q8IQQ0	FBgn0010352	Nc73EF
Q24253_DROME	Q24253	FBgn0010380	AP-1-2beta
ACBP_DROME	P42281	FBgn0010387	Dbi
SRPR_DROME	Q9U5L1	FBgn0010391	Gtp-bp
LAMC_DROME	Q03427	FBgn0010397	LamC
Q95RG1_DROME	Q95RG1	FBgn0010408	RpS9
41_DROME	Q9V8R9	FBgn0010434	cora
TUTL_DROME	Q967D7	FBgn0010473	tutl
E1JGY6_DROME	E1JGY6	FBgn0010482	l(2)01289
E1JGY7_DROME	E1JGY7	FBgn0010482	l(2)01289
Q7KJC0_DROME	Q7KJC0	FBgn0010482	l(2)01289
Q7KN94_DROME	Q7KN94	FBgn0010516	wal
Q8IGH3_DROME	Q8IGH3	FBgn0010548	Aldh-III
A8DYI6_DROME	A8DYI6	FBgn0010551	Phb2
A0AQH0_DROME	A0AQH0	FBgn0010590	Prosbeta1
SGPL_DROME	Q9V7Y2	FBgn0010591	Sply
Q7KKI0_DROME	Q7KKI0	FBgn0010621	CCT5
NU214_DROME	Q9W1X4	FBgn0010660	Nup214
Q9VN55_DROME	Q9VN55	FBgn0010750	atms
Q0E8G1_DROME	Q0E8G1	FBgn0010762	simj
Q9V3E7_DROME	Q9V3E7	FBgn0010774	Ref1
Q9U4Y1_DROME	Q9U4Y1	FBgn0010803	TrpRS
Q9VA18_DROME	Q9VA18	FBgn0010808	Chchd3
Q9VUZ0_DROME	Q9VUZ0	FBgn0011016	SsRbeta
CUE_DROME	Q95RU0	FBgn0011204	cue
ATPA_DROME	P35381	FBgn0011211	blw
MYS9_DROME	Q01989	FBgn0011225	jar
Q8SY81_DROME	Q8SY81	FBgn0011227	ox
POE_DROME	Q9VLT5	FBgn0011230	poe
VPS54_DROME	Q9VLC0	FBgn0011232	scat
Q9VGB6_DROME	Q9VGB6	FBgn0011270	Pglym87
RL13_DROME	P41126	FBgn0011272	RpL13
RY44_DROME	Q24498	FBgn0011286	RyR
SNP25_DROME	P36975	FBgn0011288	Snap25
A1Z7L8_DROME	A1Z7L8	FBgn0011300	babo
ACPM_DROME	Q94519	FBgn0011361	ND-ACP
Q9VTU2_DROME	Q9VTU2	FBgn0011455	ND-SGDH
Q86NM8_DROME	Q86NM8	FBgn0011573	Cdc37
A1ZB14_DROME	A1ZB14	FBgn0011589	Elk
Q9XZ29_DROME	Q9XZ29	FBgn0011606	Klp3A
LA_DROME	P40796	FBgn0011638	La
O76417_DROME	O76417	FBgn0011660	Pms2
C7LAH9_DROME	C7LAH9	FBgn0011661	Moe
Q9VBQ1_DROME	Q9VBQ1	FBgn0011666	msi
NOS_DROME	Q27571	FBgn0011676	Nos
Q9VV42_DROME	Q9VV42	FBgn0011693	Pdh
PEB3_DROME	Q9W1C9	FBgn0011695	EbpIII
Q9VMD9_DROME	Q9VMD9	FBgn0011722	Tig
BYN_DROME	P55965	FBgn0011723	byn
Q0KIE7_DROME	Q0KIE7	FBgn0011747	Ank
ADHX_DROME	P46415	FBgn0011768	Fdh
HYI_DROME	P36951	FBgn0011770	Gip
HEM_DROME	P55162	FBgn0011771	Hem
Q9VC96_DROME	Q9VC96	FBgn0011785	BRWD3
PXDN_DROME	Q9VZZ4	FBgn0011828	Pxn
F3YDG9_DROME	Q59E09	FBgn0012034	AcCoAS
CANA_DROME	Q11002	FBgn0012051	CalpA
FKB39_DROME	P54397	FBgn0013269	FK506-bp1
Q6AWQ3_DROME	Q6AWQ3	FBgn0013272	Gp150
Q9VJR1_DROME	Q9VJR1	FBgn0013301	ProtB
PELET_DROME	Q7M3K2	FBgn0013311	T
SAP47_DROME	Q960T2	FBgn0013334	Sap47
Q86BQ0_DROME	Q86BQ0	FBgn0013342	nSyb
Q8IGS3_DROME	Q8IGS3	FBgn0013435	Cdc2rk
Q7JPS2_DROME	Q7JPS2	FBgn0013467	igl
L2DTL_DROME	Q24371	FBgn0013548	l(2)dtl
Q0KIB9_DROME	Q0KIB9	FBgn0013576	mtd
COX2_DROME	P00408	FBgn0013675	mt:CoII
NU1M_DROME	P18929	FBgn0013679	mt:ND1
A1Z9J3_DROME	A1Z9J3	FBgn0013733	shot
O01385_DROME	A1Z8P9	FBgn0013756	Mtor
CSKP_DROME	Q24210	FBgn0013759	CASK
E1UID3_DROME	Q23997	FBgn0013763	
CNN_DROME	P54623	FBgn0013765	cnn
CATL_DROME	Q95029	FBgn0013770	Cp1
Q9VJC6_DROME	Q9VJC6	FBgn0013810	Dhc36C
Q7KVA7_DROME	Q7KVA7	FBgn0013811	Dhc62B
Q9VDG0_DROME	Q9VDG0	FBgn0013812	Dhc93AB
E1JJ04_DROME	E1JJ04	FBgn0013813	Dhc98D
Q8IQH0_DROME	Q8IQH0	FBgn0013997	Nrx-IV
PDI_DROME	P54399	FBgn0014002	Pdi
Q9U5D5_DROME	Q9U5D5	FBgn0014009	Rab2
Q95VE6_DROME	Q9VW51	FBgn0014037	Ell
Q6J4U8_DROME	Q6J4U8	FBgn0014071	gag
Q6Q3G7_DROME	Q6Q3G7	FBgn0014071	gag
Q6J4U7_DROME	Q6J4U7	FBgn0014072	pol
Q6Q3G6_DROME	Q6Q3G6	FBgn0014072	pol
Q9VZA8_DROME	Q9VZA8	FBgn0014073	Tie
UGGG_DROME	Q09332	FBgn0014075	Ugt
Q8IR86_DROME	Q8IR86	FBgn0014133	bif
Q7KSF4_DROME	Q7KSF4	FBgn0014141	cher
Q24036_DROME	Q24036	FBgn0014163	fax
Q9VND0_DROME	Q9VND0	FBgn0014342	mia
SPY_DROME	O44783	FBgn0014388	sty
Q8IR24_DROME	Q9VXN2	FBgn0014391	sun
POL3_DROME	P04323	FBgn0014453	pol
SAHH_DROME	Q27580	FBgn0014455	Ahcy13
E2QCP0_DROME	E2QCP0	FBgn0014857	His3.3A
OST48_DROME	Q24319	FBgn0014868	Ost48
O96828_DROME	O96828	FBgn0014870	Psi
RIFK_DROME	O76206	FBgn0014930	anon-84Ea
O44384_DROME	O44384	FBgn0014966	pol
TCPG_DROME	P48605	FBgn0015019	Cctgamma
Q9VMS1_DROME	Q9VMS1	FBgn0015031	cype
CP4D8_DROME	Q9VS79	FBgn0015033	Cyp4d8
Q9VA83_DROME	Q9VA83	FBgn0015221	Fer2LCH
Q7KRU8_DROME	Q7KRU8	FBgn0015222	Fer1HCH
CH60_DROME	O02649	FBgn0015245	Hsp60
Q24150_DROME	Q24150	FBgn0015268	Nap1
O01397_DROME	O01397	FBgn0015269	Nf1
Q7JNX6_DROME	Q7JNX6	FBgn0015278	Pi3K68D
Q962I2_DROME	Q962I2	FBgn0015286	Rala
RL22_DROME	P50887	FBgn0015288	RpL22
DDX41_DROME	Q9V3C0	FBgn0015331	abs
CHN_DROME	Q7YU81	FBgn0015371	chn
Q9U6I2_DROME	Q9U6I2	FBgn0015391	glu
Q8ISD9_DROME	Q8ISD9	FBgn0015402	ksr
A1Z7S0_DROME	A1Z7S0	FBgn0015477	Rme-8
PEN_DROME	O61345	FBgn0015527	peng
MSH2_DROME	P43248	FBgn0015546	spel1
EXO1_DROME	Q24558	FBgn0015553	tos
Q24197_DROME	Q24197	FBgn0015572	alpha-Est4
Q9VIB5_DROME	Q9VIB5	FBgn0015575	alpha-Est7
Q9VAS9_DROME	Q9VAS9	FBgn0015589	Apc
Q9VQM0_DROME	Q9VQM0	FBgn0015600	toc
CADN_DROME	O15943	FBgn0015609	CadN
Q0KHZ9_DROME	Q0KHZ9	FBgn0015622	Cnx99A
NCPR_DROME	Q27597	FBgn0015623	Cpr
C6A17_DROME	Q9V770	FBgn0015714	Cyp6a17
Q8MT56_DROME	Q8MT56	FBgn0015737	Hmu
Q9VIA4_DROME	Q9VIA4	FBgn0015770	MstProx
ATPB1_DROME	Q24046	FBgn0015776	nrv1
Q1RL12_DROME	Q1RL12	FBgn0015777	nrv2
ATPB2_DROME	Q24048	FBgn0015777	nrv2
A8DZ19_DROME	A8DZ19	FBgn0015803	RtGEF
Q24506_DROME	Q24506	FBgn0015808	ScpX
ANM5_DROME	Q9U6Y9	FBgn0015925	csul
TO401_DROME	Q9U4L6	FBgn0016041	Tom40
Q9VMV5_DROME	Q9VMV5	FBgn0016075	vkg
E2QCY4_DROME	E2QCY4	FBgn0016081	fry
ATP5H_DROME	Q24251	FBgn0016120	ATPsynD
ACER_DROME	Q9VLJ6	FBgn0016122	Acer
Q02824_DROME	Q02824	FBgn0016662	gag
ATPO_DROME	Q24439	FBgn0016691	ATPsynO
Q8T6I0_DROME	Q8T6I0	FBgn0016693	Past1
PSA5_DROME	Q95083	FBgn0016697	Prosalpha5
UBPE_DROME	Q24574	FBgn0016756	Ubp64E
STNB_DROME	Q24212	FBgn0016975	stnB
STNA_DROME	Q24211	FBgn0016976	stnA
SPEN_DROME	Q8SX83	FBgn0016977	spen
Q9VS62_DROME	Q9VS62	FBgn0016983	smid
Q94544_DROME	Q94544	FBgn0016984	sktl
NELFE_DROME	P92204	FBgn0017430	Nelf-E
PDK_DROME	P91622	FBgn0017558	Pdk
ORK1_DROME	Q94526	FBgn0017561	Ork1
NDUS1_DROME	Q94511	FBgn0017566	ND-75
Q9VF27_DROME	Q9VF27	FBgn0017567	ND-23
RL14_DROME	P55841	FBgn0017579	RpL14
ATU_DROME	Q94546	FBgn0019637	Atu
AT5F1_DROME	Q94516	FBgn0019644	ATPsynB
COLT_DROME	Q9VQG4	FBgn0019830	colt
A60DA_DROME	P91927	FBgn0019886	Letm1
Q9V414_DROME	Q9V414	FBgn0019890	Smg5
RS20_DROME	P55828	FBgn0019936	RpS20
RPA1_DROME	P91875	FBgn0019938	RpI1
NDUAA_DROME	P91929	FBgn0019957	ND-42
IMMT_DROME	P91928	FBgn0019960	Mitofilin
GS1_DROME	Q94529	FBgn0019982	Gs1l
Q9V9X8_DROME	Q9V9X8	FBgn0019990	Gcn2
ATPG_DROME	O01666	FBgn0020235	ATPsyngamma
Q7KN85_DROME	Q7KN85	FBgn0020236	ATPCL
E1JH02_DROME	E1JH02	FBgn0020279	lig
Q8T8Z9_DROME	Q8T8Z9	FBgn0020280	laf
DOM_DROME	Q9NDJ2	FBgn0020306	dom
O77289_DROME	O77289	FBgn0020307	dve
PRS8_DROME	O18413	FBgn0020369	Rpt6
TPP2_DROME	Q9V6K1	FBgn0020370	TppII
Q9UAI4_DROME	Q9UAI4	FBgn0020372	TM4SF
C1TC_DROME	O96553	FBgn0020385	pug
IDGF2_DROME	Q9V3D4	FBgn0020415	Idgf2
P91944_DROME	P91944	FBgn0020443	eRF3
CL190_DROME	Q9VJE5	FBgn0020503	CLIP-190
PUR6_DROME	Q9I7S8	FBgn0020513	ade5
A1Z7T2_DROME	A1Z7T2	FBgn0020621	Pkn
O18397_DROME	O18397	FBgn0020626	Osbp
TRXR1_DROME	P91938	FBgn0020653	Trxr-1
P91941_DROME	P91941	FBgn0020765	Acp65Aa
SUZ12_DROME	Q9NJG9	FBgn0020887	Su(z)12
O16158_DROME	O16158	FBgn0020907	Scp2
